Date,stockid,price,dayreturn,yrHi,yrLo,qHi,qLo,mHi,mLo,sector,USID,Gap,DayDelta,MktDelta,SectorDelta,VixOpen,VixDelta
2/10/2017,12741,19,0.1875,1,1900,1,102.7027027,1,102.7027027,XLP,225966,-0.21,0.032644903,0.002812583,-0.001489795,11.36,0.047004608
2/10/2017,12731,297,-0.228370993,0.657079646,29.55223881,0.657079646,9.428571429,0.657079646,1.358148937,XLF,225972,-0.02020202,0.113402062,0.002812583,0.005014584,11.36,0.047004608
2/10/2017,12671,53.43,-0.16684855,0.83315145,1.70430622,0.83315145,1.026118686,0.83315145,1,XLK,225988,0.005802021,-0.062151096,0.002812583,0.002723186,11.36,0.047004608
2/10/2017,12664,12.38,0.075586447,,,,,1,1.113309353,,225992,0.008077544,0.044070513,0.002812583,,11.36,0.047004608
2/10/2017,12654,4.15,-0.144329897,0.52866242,1,0.592857143,1,0.741071429,1,XLV,225996,-0.012048193,0,0.002812583,0.005143932,11.36,0.047004608
2/10/2017,12620,5.07,0.144469526,0.85786802,1.56,1,1.452722063,1,1.37398374,XLV,226004,0.00591716,-0.01372549,0.002812583,0.005143932,11.36,0.047004608
2/10/2017,12598,26.9,0.165006496,,,1,1.261430187,1,1.204657412,XLK,226009,0.004089219,-0.024065124,0.002812583,0.002723186,11.36,0.047004608
2/10/2017,12530,1.42,-0.118012422,0.544061303,2.581818182,0.692682927,1.083969466,0.692682927,1,XLK,226025,0,-0.084507042,0.002812583,0.002723186,11.36,0.047004608
2/10/2017,12527,2.3,-0.090909091,0.389830508,1.869918699,0.874524715,1.32183908,0.909090909,1.32183908,XLU,226029,0.017391304,-0.021367521,0.002812583,0.004054267,11.36,0.047004608
2/10/2017,12440,14.15,0.126592357,0.736212317,1.270197487,0.994378074,1.230434783,1,1.143896524,XLK,226059,0.002826855,0.023255814,0.002812583,0.002723186,11.36,0.047004608
2/10/2017,12432,22.15,0.147074114,,,1,1.714396285,1,1.576512456,XLV,226060,0.026185102,-0.041794941,0.002812583,0.005143932,11.36,0.047004608
2/10/2017,12418,9.35,0.238410596,,,1,1.79462572,1,1.568791946,XLV,226064,0.032085561,0.226943005,0.002812583,0.005143932,11.36,0.047004608
2/10/2017,12410,4.2,0.076923077,0.552631579,1.153846154,0.831683168,1.083870968,0.893617021,1.083870968,XLV,226073,-0.011904762,-0.024096386,0.002812583,0.005143932,11.36,0.047004608
2/10/2017,12390,1.18,0.388235294,0.531531532,1.388235294,0.756410256,1.388235294,0.936507937,1.388235294,XLE,226079,0.101694915,-0.153846154,0.002812583,0.003965555,11.36,0.047004608
2/10/2017,12380,8.07,0.078877005,1,1.921428571,1,1.360876897,1,1.274881517,XLB,226080,0.037174721,-0.002389486,0.002812583,0.004397706,11.36,0.047004608
2/10/2017,12316,0.4,-0.259259259,,,0.404040404,1.338240214,0.666666667,1.338240214,XLV,226094,0.3,-0.230961538,0.002812583,0.005143932,11.36,0.047004608
2/10/2017,12308,8.45,0.176880223,0.592982456,2.026378897,0.734782609,1.61259542,1,1.312111801,XLV,226100,0.017751479,0.044186047,0.002812583,0.005143932,11.36,0.047004608
2/10/2017,12288,3.9,-0.123595506,0.289532294,1.012987013,0.78,1,0.829787234,1,XLY,226112,0,-0.012820513,0.002812583,-0.001163715,11.36,0.047004608
