,dayreturn,yrHi,yrLo,qHi,qLo,mHi,mLo,price,Gap,VWkAvg,VixDelta,5DayFear,3MoFear,JSpread,Beta,MarketCapitalization,PriceToBook,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SectorBeat
0,0.08179419525065956,0.9738717339667458,4.141414141414141,0.9738717339667458,2.39766081871345,1.0,1.277258566978193,4.1,0.004878048780487809,14.28,0.03851351351351351,0.026783708638836168,-0.029802810027877547,3.87,1.4239,5965.8594,132.0664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1,0.14911242603550323,0.8091666666666667,1.573743922204214,0.971971971971972,1.3753541076487255,1.0,1.1884944920440637,9.71,0.00720906282183309,14.28,0.03851351351351351,0.026783708638836168,-0.029802810027877547,3.87,1.6476,1164.1028,2.7862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2,0.27493441601049873,0.8407615785209525,1.8304286858219503,0.9840465695595558,1.5669355873764352,1.0,1.2884615716180372,38.860001000000004,0.0028306741422883253,14.668333166666665,-0.013130615065653162,0.03139782957590964,-0.02393009972068394,3.92,1.3067,1272.2379,10.3306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
3,0.0805084745762712,0.9357798165137614,3.4931506849315066,0.9357798165137614,2.833333333333333,0.9357798165137614,1.4447592067988668,5.1,-0.06862745098039214,14.668333166666665,-0.013130615065653162,0.03139782957590964,-0.02393009972068394,3.92,0.7994,64.7872,3.8334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
4,0.09631025641025648,1.0,4.613158157894738,1.0,1.878885423365488,1.0,1.4694049455155074,17.530001000000002,-0.03194534900482915,14.668333166666665,-0.013130615065653162,0.03139782957590964,-0.02393009972068394,3.92,1.0781,584.4247,13.2451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
5,0.09235668422146959,0.9083085702849577,1.6160189045936397,0.9501385716806986,1.1145410189057263,0.9501385716806986,1.0923566842214696,27.440001000000002,0.002550983872048773,15.269999833333332,0.03205924981869601,0.0209346702495794,-0.043566291385670364,3.96,1.1492,371.0127,2.5823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
6,0.08788282290279636,0.3627886323268206,3.7136363636363634,0.9087875417130145,2.116580310880829,0.9087875417130145,1.0878828229027964,8.17,0.006119951040391758,15.269999833333332,0.03205924981869601,0.0209346702495794,-0.043566291385670364,3.96,1.5723,1518.771,8.1867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
7,0.08659793814432981,0.8710743801652893,1.3635187580853814,0.8857142857142856,1.14689880304679,1.0,1.14689880304679,10.54,0.007590132827324458,15.269999833333332,0.03205924981869601,0.0209346702495794,-0.043566291385670364,3.96,1.5733,2095.2624,1.4443,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
8,0.09487770663562278,1.0,2.09232469410456,1.0,1.9038460526315786,1.0,1.5833332491582488,18.809998999999998,0.004253057110742198,15.269999833333332,0.03205924981869601,0.0209346702495794,-0.043566291385670364,3.96,1.189,594.3584,2.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
9,0.1996996996996998,1.0,1.771618625277162,1.0,1.771618625277162,1.0,1.358843537414966,7.99,0.01001251564455563,15.269999833333332,0.03205924981869601,0.0209346702495794,-0.043566291385670364,3.96,1.3108,51.586000000000006,2.2311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
