,stockid,price,dayreturn,yrHi,yrLo,qHi,qLo,mHi,mLo,sector,USID,Gap,DayDelta,MktDelta,SectorDelta,VixOpen,VixDelta,3MoMom,3MoFear,5DayMom,5DayFear,JSpread,5DayJunk,3MoJunk,VWkAvg
2017-02-10,12741,19.0,0.1875,1.0,1900.0,1.0,102.7027027,1.0,102.7027027,XLP,225966,-0.21,0.032644902999999996,0.002812583,-0.001489795,11.36,0.047004607999999996,-0.038899085822715174,-0.1556455682193718,-0.007162877608221652,0.005508469577805708,3.9,0.010362694300518172,-0.2367906066536204,11.135
2017-02-10,12731,297.0,-0.228370993,0.657079646,29.55223881,0.657079646,9.428571429,0.657079646,1.358148937,XLF,225972,-0.02020202,0.113402062,0.002812583,0.005014584,11.36,0.047004607999999996,-0.038899085822715174,-0.1556455682193718,-0.007162877608221652,0.005508469577805708,3.9,0.010362694300518172,-0.2367906066536204,11.135
2017-02-10,12671,53.43,-0.16684855,0.83315145,1.70430622,0.83315145,1.026118686,0.83315145,1.0,XLK,225988,0.005802021,-0.062151095999999996,0.002812583,0.002723186,11.36,0.047004607999999996,-0.038899085822715174,-0.1556455682193718,-0.007162877608221652,0.005508469577805708,3.9,0.010362694300518172,-0.2367906066536204,11.135
2017-02-10,12664,12.38,0.075586447,,,,,1.0,1.113309353,,225992,0.008077544,0.044070513,0.002812583,,11.36,0.047004607999999996,-0.038899085822715174,-0.1556455682193718,-0.007162877608221652,0.005508469577805708,3.9,0.010362694300518172,-0.2367906066536204,11.135
2017-02-10,12654,4.15,-0.14432989699999998,0.52866242,1.0,0.5928571429999999,1.0,0.7410714290000001,1.0,XLV,225996,-0.012048193,0.0,0.002812583,0.005143932,11.36,0.047004607999999996,-0.038899085822715174,-0.1556455682193718,-0.007162877608221652,0.005508469577805708,3.9,0.010362694300518172,-0.2367906066536204,11.135
2017-02-10,12620,5.07,0.144469526,0.85786802,1.56,1.0,1.4527220630000002,1.0,1.37398374,XLV,226004,0.00591716,-0.01372549,0.002812583,0.005143932,11.36,0.047004607999999996,-0.038899085822715174,-0.1556455682193718,-0.007162877608221652,0.005508469577805708,3.9,0.010362694300518172,-0.2367906066536204,11.135
2017-02-10,12598,26.9,0.165006496,,,1.0,1.261430187,1.0,1.204657412,XLK,226009,0.004089219,-0.024065124,0.002812583,0.002723186,11.36,0.047004607999999996,-0.038899085822715174,-0.1556455682193718,-0.007162877608221652,0.005508469577805708,3.9,0.010362694300518172,-0.2367906066536204,11.135
2017-02-10,12530,1.42,-0.11801242199999999,0.544061303,2.5818181819999997,0.692682927,1.0839694659999999,0.692682927,1.0,XLK,226025,0.0,-0.08450704199999999,0.002812583,0.002723186,11.36,0.047004607999999996,-0.038899085822715174,-0.1556455682193718,-0.007162877608221652,0.005508469577805708,3.9,0.010362694300518172,-0.2367906066536204,11.135
2017-02-10,12527,2.3,-0.090909091,0.38983050799999996,1.869918699,0.874524715,1.32183908,0.9090909090000001,1.32183908,XLU,226029,0.017391304,-0.021367521,0.002812583,0.004054267,11.36,0.047004607999999996,-0.038899085822715174,-0.1556455682193718,-0.007162877608221652,0.005508469577805708,3.9,0.010362694300518172,-0.2367906066536204,11.135
2017-02-10,12440,14.15,0.126592357,0.736212317,1.2701974870000001,0.9943780740000001,1.230434783,1.0,1.143896524,XLK,226059,0.002826855,0.023255814,0.002812583,0.002723186,11.36,0.047004607999999996,-0.038899085822715174,-0.1556455682193718,-0.007162877608221652,0.005508469577805708,3.9,0.010362694300518172,-0.2367906066536204,11.135
