date,stockid,stockid,price,dayreturn,yrHi,yrLo,qHi,qLo,mHi,mLo,sector,symbol,USID,VixOpen,Gap,DayDelta,MktDelta,SectorDelta,VixDelta
2016-08-01,11220,11220,10.33,0.2521212121212122,0.9190391459074733,1.4841954022988506,1.0,1.4841954022988506,1.0,1.334625322997416,XLK,TSL,181225,12.39,-0.00871248789932233,0.0068359375,-0.005949432864971627,-0.005597459513509984,-0.004019292604501512
2016-08-01,11201,11201,9.02,-0.09980039920159678,0.45555557856341306,2.2606516290726817,0.6736370425690813,1.0636792452830188,0.7579831932773109,1.0,XLI,TMST,181513,12.39,0.003325942350332678,-0.04861878453038693,-0.005949432864971627,-0.00708852005532512,-0.004019292604501512
2016-08-01,11141,11141,11.25,-0.08387622149837126,0.4891304347826087,38.793103448275865,0.4891304347826087,38.793103448275865,0.4891304347826087,1.0,XLE,SGY,183925,12.39,0.01333333333333342,-0.024561403508772006,-0.005949432864971627,0.0019810575138194952,-0.004019292604501512
2016-08-01,11082,11082,5.81,-0.08359621451104104,0.6167728237791932,2.5371179039301306,0.6342794759825326,1.0,0.7937158469945355,1.0,XLE,SN,186184,12.39,0.027538726333907082,-0.01340033500837523,-0.005949432864971627,0.0019810575138194952,-0.004019292604501512
2016-08-01,10962,10962,9.49,0.20278833967046905,0.5013206550449023,2.6,1.0,1.3713872832369942,1.0,1.3,XLF,PN,190341,12.39,0.004214963119072657,-0.016789087093389332,-0.005949432864971627,-0.005527168837344387,-0.004019292604501512
2016-08-01,10951,10951,1.49,-0.09146341463414631,0.5265017667844523,1.935064935064935,0.68348623853211,1.0,0.7095238095238094,1.0,XLE,ROYT,190594,12.39,0.046979865771812124,-0.03205128205128205,-0.005949432864971627,0.0019810575138194952,-0.004019292604501512
2016-08-01,10929,10929,6.91,-0.09078947368421042,0.5021802325581396,1.6107226107226107,0.6242095754290876,1.0,0.7087179487179487,1.0,XLE,OAS,191958,12.39,0.02026049204052094,-0.03546099290780147,-0.005949432864971627,0.0019810575138194952,-0.004019292604501512
2016-08-01,10825,10825,1.52,-0.07878787878787874,0.6440677966101696,1.216,0.9212121212121213,1.0555555555555556,0.9212121212121213,1.0482758620689656,XLP,NTZ,194390,12.39,-0.019736842105263164,-0.006711409395973145,-0.005949432864971627,-0.0018254655316806145,-0.004019292604501512
2016-08-01,10824,10824,27.459999,0.12633306506698383,1.0,39.7971,1.0,2.6028435071090046,1.0,1.913588780487805,XLE,NRP,194500,12.39,0.0014567007085470873,-0.0516363636363637,-0.005949432864971627,0.0019810575138194952,-0.004019292604501512
2016-08-01,10775,10775,1.62,0.1095890410958904,0.7534883720930233,2.417910447761194,0.81,1.1095890410958904,0.8804347826086957,1.1095890410958904,XLI,MTL,196292,12.39,0.0,-0.03703703703703709,-0.005949432864971627,-0.00708852005532512,-0.004019292604501512
